"source","target","weight","edge_type"
"Logical Deduction (Constraint System)","Optimization","1","primary_to_related"
"Logical Deduction (Constraint System)","Ordering","5","primary_to_related"
"Logical Deduction (Constraint System)","Page Numbers","1","primary_to_related"
"Logical Deduction (Constraint System)","Painted Cubes","2","primary_to_related"
"Logical Deduction (Constraint System)","Pattern Recognition","2","primary_to_related"
"Logical Deduction (Constraint System)","Percent Decrease","1","primary_to_related"
"Logical Deduction (Constraint System)","Percent Increase","1","primary_to_related"
"Logical Deduction (Constraint System)","Percent of Total","1","primary_to_related"
"Logical Deduction (Constraint System)","Percent Shortfall","1","primary_to_related"
"Logical Deduction (Constraint System)","Percentage Calculation","1","primary_to_related"
"Logical Deduction (Constraint System)","Percentage Change","1","primary_to_related"
"Logical Deduction (Constraint System)","Percentage Profit/Loss","1","primary_to_related"
"Logical Deduction (Constraint System)","Perfect Cubes","1","primary_to_related"
"Logical Deduction (Constraint System)","Perfect Squares","1","primary_to_related"
"Logical Deduction (Constraint System)","Periodicity","1","primary_to_related"
"Logical Deduction (Constraint System)","Pigeonhole Principle","1","primary_to_related"
"Logical Deduction (Constraint System)","Place Value","1","primary_to_related"
"Logical Deduction (Constraint System)","Profit","1","primary_to_related"
"Logical Deduction (Constraint System)","Pythagoras","1","primary_to_related"
"Logical Deduction (Constraint System)","Race","1","primary_to_related"
"Logical Deduction (Constraint System)","Ranking","1","primary_to_related"
"Logical Deduction (Constraint System)","Ratio","7","primary_to_related"
"Logical Deduction (Constraint System)","Ratio of Wages","1","primary_to_related"
"Logical Deduction (Constraint System)","Ratios","3","primary_to_related"
"Logical Deduction (Constraint System)","Relative Speed","3","primary_to_related"
"Logical Deduction (Constraint System)","Remainders","1","primary_to_related"
"Logical Deduction (Constraint System)","Restrictions","1","primary_to_related"
"Logical Deduction (Constraint System)","Reversal of Digits","1","primary_to_related"
"Logical Deduction (Constraint System)","Reverse Transactions","1","primary_to_related"
"Logical Deduction (Constraint System)","Right-Angled Triangles","1","primary_to_related"
"Logical Deduction (Constraint System)","Savings","1","primary_to_related"
"Logical Deduction (Constraint System)","Schedule vs Actual","1","primary_to_related"
"Logical Deduction (Constraint System)","Scheduling","1","primary_to_related"
"Logical Deduction (Constraint System)","Sequence","2","primary_to_related"
"Logical Deduction (Constraint System)","Sign Analysis","1","primary_to_related"
"Logical Deduction (Constraint System)","Skewness","1","primary_to_related"
"Logical Deduction (Constraint System)","Squares","2","primary_to_related"
"Logical Deduction (Constraint System)","Time & Work","1","primary_to_related"
"Logical Deduction (Constraint System)","Time Difference","2","primary_to_related"
"Logical Deduction (Constraint System)","Time Intervals","1","primary_to_related"
"Logical Deduction (Constraint System)","Time Measurement","1","primary_to_related"
"Logical Deduction (Constraint System)","Time-Distance","1","primary_to_related"
"Logical Deduction (Constraint System)","Total Sales","1","primary_to_related"
"Logical Deduction (Constraint System)","Train","1","primary_to_related"
"Logical Deduction (Constraint System)","Transitivity","1","primary_to_related"
"Logical Deduction (Constraint System)","Unit Cost","1","primary_to_related"
"Logical Deduction (Constraint System)","Value Calculation","1","primary_to_related"
"Logical Deduction (Constraint System)","Venn Diagram","1","primary_to_related"
"Logical Deduction (Constraint System)","Volume","1","primary_to_related"
"Logical Deduction (Constraint System)","Weekday Counting","1","primary_to_related"
"Logical Deduction (Constraint System)","Weighted Average","3","primary_to_related"
"Logical Deduction (Constraint System)","Weighted Outcomes","1","primary_to_related"
"Logical Deduction (Constraint System)","Word Problems","1","primary_to_related"
"Logical Deduction (Constraint System)","Work Progress","1","primary_to_related"
"Logical Deduction (Constraint System)","Work Rates","3","primary_to_related"
"Logical Statements","Syllogism","1","primary_to_related"
"Logical Statements","Valid Conclusions","1","primary_to_related"
"Manufacturing Upgradation","High-Tech Manufacturing","1","primary_to_related"
"Manufacturing Upgradation","Productivity Growth","1","primary_to_related"
"Marked Price","Discount","1","primary_to_related"
"Microbiome & Malnutrition","Child Nutrition","2","primary_to_related"
"Microbiome & Malnutrition","Gut Microbiome","2","primary_to_related"
"Middle-Income Trap","Economic Development","1","primary_to_related"
"Middle-Income Trap","Productivity Growth","1","primary_to_related"
"National Income Accounting","Measurement Issues","1","primary_to_related"
"National Income Accounting","Non-Commercial Sector","1","primary_to_related"
"National Integration & Civic Responsibility","Citizenship Duties","1","primary_to_related"
"National Integration & Civic Responsibility","Communalism","1","primary_to_related"
"National Integration & Civic Responsibility","Social Cohesion","1","primary_to_related"
"Obesity & Dieting","Individualized Nutrition","1","primary_to_related"
"Obesity & Dieting","Lifestyle Habits","1","primary_to_related"
"Ordering","Constraints","2","primary_to_related"
"Ordering","Relative Position","1","primary_to_related"
"Ordering Constraints","Logic Games","1","primary_to_related"
"Painted Cubes","Counting","2","primary_to_related"
"Painted Cubes","Cubes","1","primary_to_related"
"Pattern Completion","Figure Series","1","primary_to_related"
"Pattern Recognition","Logical Sequence","1","primary_to_related"
"Per Capita Income","Socioeconomic","1","primary_to_related"
"Per Capita Income","Tele-density","1","primary_to_related"
"Percent of Total","Maximum Marks","1","primary_to_related"
"Percentage Difference","Comparison","1","primary_to_related"
"Political Development & Group Identity","Social Cleavages","1","primary_to_related"
"Political Development & Group Identity","Traditional vs Modern Identities","1","primary_to_related"
"Political Economy","Economic Power","1","primary_to_related"
"Political Economy","Politics-Economics Interdependence","1","primary_to_related"
"Political Theory","Citizen Rights","1","primary_to_related"
"Polygon Diagonals","Diagonals","1","primary_to_related"
"Polygon Diagonals","Geometry","1","primary_to_related"
"Popular Sovereignty","Consent of the Governed","1","primary_to_related"
"Popular Sovereignty","Social Contract","1","primary_to_related"
"Population Decline","Geometric Progression","1","primary_to_related"
"Positional Reasoning","Best-Worst","1","primary_to_related"
"Productive Employment & Inclusion","Informal Sector Jobs","1","primary_to_related"
"Productive Employment & Inclusion","Structural Transformation","1","primary_to_related"
"Ranking & Inequalities","Comparative Statements","1","primary_to_related"
"Ranking & Inequalities","Order","1","primary_to_related"
"Rates of Change","Graphs","1","primary_to_related"
"Rates of Change","Slope","1","primary_to_related"
"Ratio","Replacement","1","primary_to_related"
"Regulation & Economic Growth","Economic Competitiveness","2","primary_to_related"
"Regulation & Economic Growth","Regulatory Policy","2","primary_to_related"
"Relation Symbols","Blood Relations","1","primary_to_related"
"Relation Symbols","Family Tree","1","primary_to_related"
"Relative Progress","Rates","1","primary_to_related"
"Relative Progress","with Slippage","1","primary_to_related"
"Right to Education & Quality","Curricular Reform","5","primary_to_related"
"Right to Education & Quality","Universal Access","5","primary_to_related"
"Right Triangle","Broken Tree","1","primary_to_related"
"Right Triangle","Distance","1","primary_to_related"
"Rights and Duties","Community Solidarity","2","primary_to_related"
"Rights and Duties","Justice","2","primary_to_related"
"Sanitation Behavior","Open Defecation","1","primary_to_related"
"Sanitation Behavior","Purity-Pollution Norms","1","primary_to_related"
"Scheduling","Time-Distance","1","primary_to_related"
"Science & Faith","Limits of Science","1","primary_to_related"
"Science & Faith","Spirituality","1","primary_to_related"
"Science & Human Progress","Scientific Knowledge","1","primary_to_related"
"Science & Human Progress","Social Progress","1","primary_to_related"
"Seating Arrangement","Logic Puzzle","2","primary_to_related"
"Seating Arrangement","Ordering","1","primary_to_related"
"Seating Arrangement","Position Constraints","3","primary_to_related"
"Set Relations","Logical Deductions","1","primary_to_related"
"Set Theory","Inclusion-Exclusion","1","primary_to_related"
"Smallholder Farmers & Climate Risk","Climate Vulnerability","2","primary_to_related"
"Smallholder Farmers & Climate Risk","Food Security","2","primary_to_related"
"Social Contract & General Will","Popular Sovereignty","1","primary_to_related"
"Social Contract & General Will","Rousseau","1","primary_to_related"
"Social Nature of Man","Human Society","1","primary_to_related"
"Social Nature of Man","Social Cooperation","1","primary_to_related"
"Soil Erosion & Food Security","Carbon Sequestration","1","primary_to_related"
"Soil Erosion & Food Security","Soil Degradation","1","primary_to_related"
"Statement & Conclusion","Conclusions","2","primary_to_related"
"Statement & Conclusion","Logical Inference","1","primary_to_related"
"Statement & Conclusion","Logical Validity","1","primary_to_related"
"Sum of Distances","Arithmetic Series","1","primary_to_related"
"Surface Area","Cube","1","primary_to_related"
"Sustainable Diets & Resources","Dietary Choices","1","primary_to_related"
"Sustainable Diets & Resources","Resource Use","1","primary_to_related"
"Syllogism","Statement Conclusions","1","primary_to_related"
"Telecom Infrastructure","Economic Growth","1","primary_to_related"
"Telecom Infrastructure","Socioeconomic","1","primary_to_related"
"Time-Distance","Overtaking","1","primary_to_related"
"Trend Analysis","Birth/Death Rates","1","primary_to_related"
"Trend Analysis","Growth Rate","1","primary_to_related"
"Trend Analysis","Population","2","primary_to_related"
"Tuberculosis & Social Determinants","Poverty","1","primary_to_related"
"Tuberculosis & Social Determinants","Stigma","1","primary_to_related"
"Urban Planning & Inclusion","Participatory Planning","1","primary_to_related"
"Urban Planning & Inclusion","Urban Poor","1","primary_to_related"
"Urban Sanitation & Public Health","Manual Scavenging","1","primary_to_related"
"Urban Sanitation & Public Health","Sanitation Policy","1","primary_to_related"
"Venn Diagram","Logical Deductions","1","primary_to_related"
"Venn Diagram","Percent Overlap","1","primary_to_related"
"Weekday Counting","Calendar Arithmetic","1","primary_to_related"
"Weighted Average","Percentage","1","primary_to_related"
"Wildlife Corridors & Conservation","Habitat Connectivity","2","primary_to_related"
"Wildlife Corridors & Conservation","Human-Wildlife Conflict","2","primary_to_related"
"Work & Leisure","Leisure Balance","1","primary_to_related"
"Work & Leisure","Work Ethic","1","primary_to_related"
"Work Rates","Combined Work","1","primary_to_related"
