"Source","Target","Weight"
"Ajanta Cave Paintings","Bodhisattva Padmapani","1"
"Financialization of Savings","Household Assets","1"
"Percentage","Percent Decrease","1"
"Logical Reasoning","Prime Sum","1"
"IBRD Role","Post-WWII Reconstruction","1"
"Dams & Reservoirs","Reservoirs","1"
"Sangam Literature","Material Culture","1"
"Medieval Gujarat & Portuguese","Diu","1"
"Agrobiodiversity Loss","Food Security","1"
"Ratio & Proportion","Cubes","2"
"Countries with Many Time Zones","France","1"
"Cyber Insurance","Legal Liability","1"
"Indian Ports","Mundra Port","1"
"Public Investment in Agriculture","MSP","1"
"Power Sector Reforms","UDAY Scheme","1"
"Kharif Crops Area","Rice","1"
"UPI International Acceptance","France","1"
"Fiscal Responsibility & Debt","State Borrowing","1"
"Domestic Content Requirement","Solar Power Policy","1"
"External Debt","Debt Composition","1"
"Regional Navigation Systems","QZSS (Japan)","1"
"National Integration & Civic Responsibility","Communalism","1"
"10th Schedule Disqualification","Political Party","1"
"Vijayanagara Temple Architecture","Vijayanagara","1"
"Number System","Even-Odd Properties","2"
"Number System","Minimum Cuts","2"
"Indian Laws & Offences","Arms Amendment","1"
"Agricultural Technology & Food Security","Infrastructure","1"
"US-EU Trade and Technology Council","Standards","1"
"Governance & Citizenship","Rule of Law","1"
"Logical Reasoning","Logic Puzzles","10"
"Constitutional Bodies","NSC","1"
"External Debt","Currency","1"
"Capital Receipts","Borrowings","1"
"Power Sector Reforms","DISCOM Financial Health","1"
"Military Coups in Africa","Mali","1"
"Parliamentary Procedure","Private Member Bill","4"
"Non-Cooperation Programme","Non-violence","1"
"Number System","Money Distribution","1"
"Logical Reasoning","Order Relations","1"
"Pulse Crops in India","Green Gram","1"
"Banking Technology","Core Banking Systems","1"
"Dalit Movement Publications","Gopal Baba Walangkar","1"
"Number System","Digit Positions","1"
"PNGRB Regulation Scope","Distribution","1"
"Inter-State River Water Governance","Basin-Based Allocation","1"
"Ancient Religious Terms","Upasaka","1"
"Subsidiary Alliance","Paramountcy","1"
"Energy Transition & Renewables","Emissions Targets","1"
"Social Media & Democracy","Political Discourse","2"
"Digital Payments","Authentication Factors","1"
"Rights and Duties","Justice","2"
"Sangam Practices","Ritual Suicide","1"
"Water Pollution Indicators","Aquatic Pollution","1"
"Wildlife Protection Act Schedule VI","Cultivation License","1"
"Number System","Cyclicity of Powers","1"
"UNESCO Intangible Heritage","Latest","1"
"Internet of Things","Connected Devices","1"
"Wealth & Failure","Success","1"
"Agroecology","Biodiversity Mimicry","1"
"Bioenergy Sustainability","Biomass Energy","2"
"Web 3.0","Decentralization","1"
"Summer Solstice","June","1"
"Agricultural Market Reforms","Agricultural Marketing","1"
"IMFC","Economic Indicators","1"
"Himalayan Peaks","Nanda Devi","1"
"Permutation & Combination","Sequence Count","1"
"Sustainable Aviation Fuel","Agricultural Residues","1"
"Permutation & Combination","Distinct Digits","1"
"Logical Reasoning","Number Series","1"
"Money Supply Measures","Currency in Circulation","1"
"Education Equity","RTE Quotas","1"
"Jagirdari & Zamindari","Mughal Administration","1"
"Employment & Structural Transformation","Sectoral Employment","1"
"Missile Systems","Agni-V","1"
"Skill Development","Skill Training","1"
"State Formation & Features","Nagaland","1"
"Sea Turtles & Marine Reptiles","Herbivory","1"
"Ministerial Eligibility & Disqualification","Representation of People Act","1"
"Nari Shakti Vandan Adhiniyam","Women Reservation","1"
"Atmospheric Dust Distribution","Dry Winds","1"
"Food Security & Monoculture Risk","Plant Disease","1"
"Number System","Remainder Theorem","1"
"Food Safety & Globalization","Supply Chain Risk","1"
"Higher Education & Flipped Classroom","Online Courses","1"
"Number System","Pattern Completion","2"
"Time, Speed & Distance","Overtaking","3"
"Finance Commission Devolution Criteria","Forest & Ecology","1"
"Metaverse Concept","Digital Property","1"
"National Handloom Day","7 August","1"
"Agricultural Technology & Food Security","Yield Plateau","1"
"Number System","Orientation","1"
"Industrial Waste Utilization","Road Construction","1"
"Panchayats","Finance Commission","1"
"Number System","Substitution","1"
"National Integration & Civic Responsibility","Social Cohesion","1"
"President Election & Powers","Election Validity","1"
"Cybersecurity & IoT Risks","Connected Devices","1"
"Middle-Income Trap","Productivity Growth","1"
"AI Action Summit 2025","Seoul","1"
"Logical Reasoning","Inequalities","5"
"Number System","Modulo","1"
"Tropical Rainforest Soils","Decomposition","1"
"Space Exploration & Economy","Frontier Economy","1"
"Net-Zero Transition","Demand-side Behavior","1"
"Logical Reasoning","Coding","1"
"Number System","Cryptarithm","1"
"Indian Federalism","Rajya Sabha Special Powers","1"
"Indian Islands Geography","Andaman-Nicobar","1"
"Directive Principles Amendments","Workers' Participation","1"
"Number System","Powers of 30","1"
"Manual Scavenging Rehabilitation","Technology Applications","1"
"Number System","Mileage","1"
"Global Food Security","Hunger Reduction","1"
"Social Cost of Carbon","CO2 Damage","1"
"Nutrition Security & Crop Diversity","Monoculture","1"
"Global Indices","World Economic Forum","1"
"G20 Common Framework for Debt","Paris Club","1"
"Agricultural Transformation & Poverty Reduction","Rural Employment","1"
"Lok Sabha Ethics Committee","Ad-hoc Origins","1"
"Greenfield Airports","Kushinagar","1"
"Central Bank Digital Currency","Cross-border Payments","1"
"Subsidiary Alliance","Lord Wellesley","1"
"Right to Education","Teacher Eligibility Test","1"
"Harijan Upliftment","Social Reform","1"
"Currency Management","Rupee Stabilization","1"
"Buddhist Concepts","Maitreya","1"
"Environmental Institutions","National Green Tribunal","3"
"Time, Speed & Distance","Distance Formula","1"
"State and Liberty","Freedom","1"
"Social Nature of Man","Social Cooperation","1"
"Biotechnology Regulation & GM Crops","GM Crops","2"
"Wet-Bulb Temperature Impacts","Human Survival","1"
"Effective Exchange Rate","Trade Competitiveness","1"
"Accelerometer Applications","Airbags","1"
"High-Energy Explosives","LLM-105","1"
"PNGRB Regulation Scope","Refining","1"
"Percentage","Net Change","1"
"Indian Federalism","Federalism","2"
"Time, Speed & Distance","Head Start","1"
"Agriculture vs Non-Agriculture Growth","Structural Change","1"
"Number System","Spacing","1"
"Ryotwari Settlement","British Land Revenue Systems","1"
"Alternative Investment Funds","Securities","1"
"Logical Reasoning","Family Relations","2"
"Media & Democratic Accountability","Freedom of Expression","1"
"Conflict Zones in West Asia","Aleppo","1"
"Inclusive Wealth & Sustainability","Natural Capital","1"
"Number System","Elimination","2"
"PFAS Pollution","Persistent Organic Pollutants","1"
"Greenwashing","False Environmental Claims","1"
"Privacy Rights & State Responsibility","Right to Privacy","1"
"Ancient Ports of South India","Muchiri","1"
"Metagenomics","Environmental DNA","1"
"Legume Family Crops","Horse-gram","1"
"Isotherms","Currents","1"
"Number System","CRT","1"
"Logical Reasoning","Set Counts","1"
"Happiness & Gift-Giving","Joy in Present","1"
"Climate Change & Land Use","Deforestation","1"
"Number System","Resultant Displacement","1"
"Ayushman Bharat Digital Mission","Portability","1"
"Flood & Drought Management","Interlinking","1"
"Logical Reasoning","Transitivity","1"
"Logical Reasoning","Set Theory","1"
"Averages","Deviation from Mean","1"
"INSTC Corridor","India-Iran-Central Asia-Europe","1"
"Indian Wetlands & Lakes","Renuka","1"
"Logical Reasoning","Differences","1"
"Food Safety & Public Health","Regulatory Surveillance","1"
"Internet of Things","Smart Systems","1"
"Fifth Schedule","Tribal Areas","1"
"Constitutional Philosophy","Directive Principles","1"
"CBLO Instruments","Money Market","1"
"PM Surya Ghar Yojana","Skill Development","1"
"Congo Basin Geography","Cameroon","1"
"Climate Change & Polar Ecosystems","Polar Bears","1"
"Public Health & Productivity","Anemia","1"
"Number System","Letter Substitution","2"
"Benzene Pollution & Exposure","VOCs","1"
"Indo-Islamic Architecture","Lucknow Monuments","1"
"Number System","Day Count","1"
"Money Bill vs Finance Bill","Joint Sitting","1"
"Education & Culture","Intellectual Capital","1"
"Animal Communication","Honeybee Waggle DanceBees","1"
"Agricultural Technology & Food Security","Smallholders","1"
"Permutation & Combination","Chessboard","1"
"Enforcement Agencies","DRI","1"
"Logical Reasoning","Algebraic Reasoning","1"
"Metaverse Concept","Virtual Worlds","1"
"Teesta River System","Brahmaputra Basin","1"
"Number System","Periodicity","1"
"Time & Work","Defect Percentage","1"
"Banking Reforms & NPAs","Bad Loans","1"
"Middle East Peace Process","Arab Peace Initiative","1"
"Kharif Crops Area","Cotton","1"
"Law and Liberty","Rule of Law","1"
"Fifth Schedule","Scheduled Areas","1"
"Number System","Sets","1"
"Union Budget Procedure","President Recommendation","1"
"Rivers & Cities","Pilgrimage Towns","1"
"Yogavasi??ha Translation","Akbar","1"
"Carbon Nanotubes","Drug Delivery","1"
"Logical Reasoning","Weight Comparison","1"
"RBI Income Sources","Forex","1"
"UDHR and Indian Constitution","Preamble","1"
"Buddhist Stupas","Relics","1"
"Panchayats","Age","1"
"Handloom Sector Modernization","Market Appeal","1"
"Dyarchy in India","Government of India Act 1919","1"
"Seas and Bordering Countries","Black","1"
"Number System","Analogies","1"
"Ethnic Conflicts","Technology Applications","1"
"Number System","Bearings","2"
"Reservoir Management & Flood Control","Flood Management","1"
"Civic Participation & Voting Duty","Electoral Responsibility","1"
"Foreign Bank Subsidiaries Rules","Board Composition","1"
"Averages","Mean","1"
"Famine in Somalia","Horn of Africa","1"
"Inclusive Innovation & Inequality","R&D Policy","1"
"Constitutional Bodies","Law Commission","1"
"Bioenergy Sustainability","Biomass Limits","1"
"Permutation & Combination","Row Constraints","1"
"Carbon Sequestration","Carbon Capture and Storage","1"
"Science & Philosophy","Ethics","1"
"Logical Reasoning","Number Formation","1"
"Permutation & Combination","Worst Case","1"
"Coal Controller?s Organization","Captive Blocks","1"
"Science and Society","Human Agency","2"
"Early Medieval Dynasties Chronology","Pallavas","1"
"Himalayan Peaks","Namcha Barwa","1"
"Economic Insecurity & Inequality","Poverty Alleviation","1"
"Biotechnology","Somatic Cell Nuclear Transfer","1"
"Early Medieval Dynasties","Kakatiya","1"
"Council of Ministers & 91st Amendment","Ministerial Ranks","1"
"European Trading Powers in India","Goa","1"
"External Sector Resilience","Capital Account Convertibility","1"
"Fungi Properties","Psychoactive","1"
"Forest Cover in India","State-wise Forest Cover","1"
"Number System","Backward Reasoning","1"
"Financial Sector Reforms","Economic Welfare","1"
"Number System","Polygon Diagonals","1"
"Fertigation","Reduced Leaching","1"
"Number System","Linear Arrangement","1"
"Radar Applications","Weather Radar","1"
"Number System","Figure Series","2"
"Monetary Policy Committee","Monetary Policy","1"
"RBI Governance","RBI Act","45"
"Manufacturing Upgradation","High-Tech Manufacturing","1"
"Indian Elephant Biology & Conservation","Gestation Period","1"
"Number System","Opposite Faces","3"
"Anti-Defection Law","Nominated Members","1"
"Syndicated Lending","Risk Sharing","1"
"Probiotics","Yeast","1"
"Number System","Grid Navigation","1"
"Permutation & Combination","Logical Deduction","1"
"Number System","Rates","2"
"Demographic Dividend","Dependency Ratio","1"
"Number System","Exponential Function","1"
"Logical Reasoning","Directed Graph","3"
"Wetlands & Ramsar","Wetland Rules","1"
"Union vs State Subjects","Corporation Tax","1"
"Faxian in India","Gupta Period","1"
"Education System & Learning Outcomes","Competency-Based Learning","1"
"Jagirdari & Zamindari","Land Revenue","1"
"UPI International Acceptance","UAE","1"
"Wildlife Protection Act","Protected Species","1"
"Number System","Arithmetic Series","2"
"Indian Philosophers","Dignaga","1"
"Number System","Sum of Factors","1"
"Sahel Instability","Security Crisis","1"
"Food Security & Nutrition","Malnutrition","1"
"Stellar Evolution","Giant Stars","1"
"Radar Applications","Surveillance","1"
"GDP Growth & Development","Income Growth","1"
"Number System","Area Coverage","1"
"Number System","Equal ????","1"
"Permutation & Combination","Combinations","4"
"Number System","Right-Angled Triangles","1"
"Kharif Crops Area","Sugarcane","1"
"Big Cats Behavior","Lion Breeding","1"
"Agricultural Productivity","Arable Land","1"
"Urban Planning Education","Systems Approach","2"
"Physical Geography","Tides","2"
"Science & Technology","Technology Applications","17"
"Drone Applications","Volcano Monitoring","1"
"Percentage","Ratios","1"
"Economic Liberalization & Role of State","Global Integration","1"
"Number System","Permutations","2"
"Number System","Weighted Average","1"
"Nature Solutions Finance Hub","Nature-based Finance","1"
"Missile Defense Systems","US Defense","1"
"Synthetic Biology","Artificial DNA","1"
"Number System","AP Triples","1"
"Cultural Relativism & Universal Values","Travel and Learning","1"
"Number System","Logical Deductions","1"
"Mercury Pollution","Coal Plants","1"
"Number System","Truth/False","1"
"Number System","Pairs","1"
"Classical Sanskrit Scholars","Amarasimha","1"
"Kisan Credit Card","Post-harvest Expenses","1"
"Number System","Geometry","1"
"Operation Sadbhavana","Army Civic Action","1"
"Mineral Resources in India","Iron Ore","1"
"Mountain Ranges & Types","Alps","1"
"Constitution Amendments","Judicial Review","1"
"Separation of Judiciary and Executive","Judicial Independence","1"
"Agricultural Emissions","Rice Cultivation","1"
"Number System","Cyclic Work Pattern","1"
"Currency Crisis Risk","Forex Earnings","1"
"Monazite & Rare Earths","Atomic Minerals","1"
"Leadership Development","Leadership Training","1"
"Wearable Technology","Health Monitoring","1"
"Conflict Zones in West Asia","Kirkuk","1"
"Time, Speed & Distance","Clock Geometry","1"
"Logical Reasoning","Symbol-Number Mapping","1"
"Mediterranean Region","West Asia","1"
"WTO TRIMs Agreement","Investment Measures","1"
"Indian Military Aircraft Types","C-17","1"
"Pumped-Storage Hydropower","Energy Storage","1"
"Indian Philosophers","Aryadeva","1"
"Poetry and Truth","Plurality of Reality","1"
"Venezuela Economy & Oil","Oil Reserves","1"
"Tidal Phenomena","Tides","1"
"Recirculating Aquaculture System","Biofilters","1"
"Tea-Producing States","Kerala","1"
"Social Reform & Women's Rights","Restitution of Conjugal Rights","1"
"Deciduous Trees","Jackfruit","1"
"Logical Reasoning","Relative Distances","1"
"Environmental Toxicology","BPA","1"
"Modern Indian Timeline","Neeldarpan","1"
"Leisure and Human Progress","Technological Progress","1"
"Exercise Mitra Shakti 2023","Counter-terrorism","1"
"Plant Descriptions","Ginger","1"
"Number System","3D Visualization","3"
"Inclusive Wealth & Sustainability","GDP vs Inclusive Wealth","1"
"Buddhist Stupas","Votive Structures","1"
"Indian Elephant Biology & Conservation","Matriarchal Herds","1"
"Number System","GCD","2"
"Indian Cave Sites","Bhaja","1"
"Logical Reasoning","Product","1"
"Water Ecosystems & Policy","Wetlands","1"
"Genome Editing","Molecular Tools","1"
"Seas and Bordering Countries","Caspian","1"
"Science & Social Responsibility","Industrial Revolution","1"
"Central Ground Water Authority","Environment Protection Act","1"
"Green Technology Transition","Learning Curve","1"
"Ratio & Proportion","Fractional Ratios","1"
"Interest Coverage Ratio","Debt Servicing","1"
"Number System","Relationships","1"
"Pollination Ecology","Crop Dependence","1"
"Logical Reasoning","Linear Combination","1"
"Macroeconomics","Economic Indicators","10"
"Ashokan Rock Edicts","Dhauli","1"
"Goods and Services Tax","Single Market","1"
"Lok Sabha Ethics Committee","Complaint Process","1"
"Ordinance Powers","Retrospective Effect","1"
"RTGS vs NEFT","Settlement","1"
"Ancient Ports of South India","Korkai","1"
"Climate Change & Land Use","Agriculture Emissions","1"
"Inter-State River Water Governance","Water Stress","1"
"UN Convention against Corruption","Anti-Corruption","1"
"Capital vs Revenue Expenditure","Technology Acquisition","1"
"Parliamentary Procedure","Parliament","1"
"Indian Handicrafts","Sujni Embroidery","1"
"Leadership Development","Decision-Making","1"
"Bond Market Participants","Pension","1"
"Handloom Sector Modernization","Cultural Heritage","1"
"Genome Editing & Germline Modification","Human-Animal Chimera","1"
"Multidimensional Poverty","Deprivations","1"
"Evolution & Natural Selection","Species Survival","1"
"Water Resource Management","Monsoon Storage","1"
"Logical Reasoning","Symbolic Operations","2"
"Permutation & Combination","Odd Digits","1"
"State, Morality & Law","Moral Order","1"
"Number System","Mod 10","1"
"Right to Privacy","Article 21","1"
"Greenwashing","ESG Marketing","1"
"Pollination & Evolutionary Function","Reproductive Strategy","1"
"Data Privacy & IoT","Consumer Data","2"
"Nitrogen Use Efficiency","Fertilizer Losses","1"
"Siachen Glacier Geography","Karakoram Range","1"
"Solar Storm Impacts","GPS Disruption","1"
"UDHR and Indian Constitution","Fundamental Duties","1"
"Fort William College","British Civil Service","1"
"Ashokan Inscriptions","Kanganahalli","1"
"Number System","Place Value","4"
"Inland Water Bodies","Aral Sea","1"
"Number System","Direct vs Indirect Taxes","1"
"Indian Lakes & River Systems","Kanwar Lake","1"
"Home Guards","Auxiliary Police","1"
"Foreign Bank Subsidiaries Rules","WOS","1"
"Preamble to the Constitution","Preamble Objectives","1"
"Permutation & Combination","Inequalities","1"
"Number System","Order Positions","1"
"Number System","2-3-37 Divisibility","1"
"Agricultural Emissions","Methane & Nitrous Oxide","1"
"Crude Oil Benchmarks","Oil Prices","1"
"Wolbachia for Mosquito Control","Vector Control","1"
"IMFC","Policy Measures","1"
"Digital Rupee","RBI Liability","1"
"Current Affairs Country Events","Tunisia","1"
"Pallava Rulers & Titles","Mahendravarman I","1"
"Union Budget Procedure","Annual Financial Statement","1"
"Number System","Birth/Death Rates","1"
"Monetary Policy Instruments","MSF","1"
"Maternity Benefit Act","Labour Law","1"
"Groundwater Extraction","WWDR 2022","1"
"Gold Trade & Reserves","Switzerland","1"
"UNOPS S3i Investments","Healthcare","1"
"Number System","Consecutive Integers","1"
"Visible Light Communication","EM Spectrum","1"
"Conflict Zones in West Asia","Mosul","1"
"Buddhist Sites","Mahasanghika","1"
"Climate Adaptation & Food Security","Agricultural Extension","1"
"Constitution Parts","Part XX","1"
"Buddhist Sites","Dhanyakataka","1"
"Number System","Calendar Days","1"
"Corporate Social Responsibility Rules","Spending Norms","1"
"Logical Reasoning","Counting","1"
"Permutation & Combination","Digit Constraints","2"
"Kulah-Daran","Headgear Title","1"
"British Colonial Rule","Colonial Policies","1"
"Number System","Repetition Cycle","1"
"Urban Development Cooperation","Housing & Urban Development","1"
"Evolution & Natural Selection","Darwinism","1"
"Time & Work","Combined Work","2"
"Number System","Combined Rates","1"
"Agricultural Productivity","Yield","1"
"Critical Minerals Policy","MMDR Amendment 2023","1"
"Public Sector Banks Governance","Capital Infusion","1"
"Indian Laws & Offences","Official Secrets Act","1"
"National Movements & Organizations","Social Reform","1"
"US-EU Trade and Technology Council","Tech Cooperation","1"
"Ratio & Proportion","Savings","1"
"Ratio & Proportion","Minimum Total","1"
"Number System","Integers","1"
"Tribal Revolts","Birsa Munda","1"
"Fungus-Farming Insects","Ants","1"
"WHO Air Quality Guidelines","Asthma","1"
"Mahayana Buddhism","Bodhisattva","1"
"IMF Emergency Financing","Rapid Financing Instrument","1"
"Overwork & Self-Improvement","Leisure","1"
"Gold Monetization Policy","Savings Mobilization","1"
"European Trading Powers in India","Madras","1"
"Ocean Carbon Cycle","Iron Nutrients","1"
"Climate Types","Marine West Coast Climate","1"
"Corporate Capitalism & Growth","Employment","1"
"Countries with Many Time Zones","UK","1"
"Logical Reasoning","Letter-Number Coding","1"
"Foreign Investment & Employment","FDI Volatility","1"
"Chola Expeditions","Rajendra I","1"
"Public Investment in Agriculture","Rural Infrastructure","1"
"Number System","Page Numbers","1"
"Number System","15!","1"
"Industrial Labour Legislation","Labour Movement","1"
"Number System","Comparative Analysis","2"
"Number System","Optimization","3"
"Fifth Generation Fighter Aircraft","Rafale","1"
"Antibiotics & Environmental Pollution","Drug Resistance","1"
"Labour Reforms & Employment","Employment Growth","1"
"Climate Finance & Policy","Adaptation Funding","1"
"Governor Discretion & Bills","Reservation","1"
"Number System","Arithmetic","2"
"English Education Policy","Charter Act 1813","1"
"Constitutionalism","Limits on Government Power","1"
"Conflict Regions","Donbas","1"
"Animal Habitats","Elk","1"
"Microbiome & Malnutrition","Child Nutrition","2"
"Logical Reasoning","Percent Overlap","1"
"IUCN Bodies","Invasive Species Specialist Group","1"
"Percentage","Percentage Change","1"
"FRBM Act","Budget Documents","1"
"Rule of Law Index","World Justice Project","1"
"Zika Virus","Sexual Transmission","1"
"Poisonous Species","Fish","1"
"Presidential Election Electoral College","MLA Vote Value","1"
"Aadhaar APIs","Authentication","1"
"Permutation & Combination","Paths","1"
"Software as a Service","Web Mail","1"
"Volcanic Eruption Products","Sulphur Compounds","1"
"Number System","Graphs","1"
"Convertible Bonds","Equity Option","1"
"Due Process of Law","Fair Procedure","1"
"Number System","System of Equations","4"
"Gold Monetization Policy","Sovereign Gold Bonds","1"
"Urban Water Governance","Urban Local Bodies","1"
"Time, Speed & Distance","Time Measurement","1"
"Indirect Transfers","Capital Gains","1"
"Ocean Carbon Cycle","Phytoplankton Productivity","1"
"Fifth Schedule Areas","Tribal Land Protection","1"
"Speaker Removal Procedure","Voting Rights","1"
"Time, Speed & Distance","Clock Error","1"
"Public Investment in Agriculture","Cold Storage","1"
"Urban Sanitation & Public Health","Sanitation Policy","1"
"IRNSS/NavIC","Coverage","1"
"Number System","Man-Woman Work Rates","1"
"Number System","Linear Constraints","1"
"Credit Rating Agencies","ICRA","1"
"Tribal Revolts","Munda Rebellion","1"
"Speaker of Legislative Assembly","Dissolution","1"
"BRSR Reporting","SEBI Requirements","1"
"Solar Water Pump Technology","Pump Types","1"
"Speaker of Lok Sabha","Removal Procedure","1"
"Indus Valley Civilization","Archaeology","1"
"Number System","Sum and Product","1"
"Agricultural Technology & Food Security","Technology Adaptation","1"
"Circular Economy Benefits","Resource Efficiency","1"
"Indian Reservoirs","Maithon","1"
"Parliamentary Accountability","Question Hour","1"
"Nitrogen-fixing Plants","Alfalfa","1"
"NATO Membership","Bulgaria","1"
"Extremophiles","Acidophiles","1"
"Education Outcomes & Skills","Employability","1"
"Education Outcomes & Skills","Expectations","1"
"Constitution Amendment","Repeal","1"
"Summer Solstice","Arctic Circle","1"
"WTO Trade Facilitation Agreement","Trade Facilitation","1"
"Number System","Prime Numbers","2"
"Real Sector of Economy","Manufacturing","1"
"Animal Habitats","Indri","1"
"Adaptive Immunity","Pathogen Defense","1"
"Ordinance Powers","Fundamental Rights","1"
"Agriculture vs Non-Agriculture Growth","Rural Economy","1"
"Ageing Population Countries","Italy","1"
"Presidential Pardoning Power","Judicial Review","1"
"Logical Reasoning","Direction Sense","1"
"ASI & Archaeology in India","Alexander Rea","1"
"Logical Reasoning","Conditional Logic","2"
"Conflict Regions","North Kivu","1"
"Number System","Metric Conversions","1"
"Number System","Patterned Sequence","1"
"Columbian Exchange Crops","New World Crops","1"
"Benami Property Law","PBPT Act","1"
"Logical Reasoning","Set Logic","1"
"Forced Labour","Vishti","1"
"Asiatic Lion Conservation","Kuno Palpur","1"
"National Food Security Act","Maternity Benefits","1"
"Poisonous Species","Frogs","1"
"Rare Earth Elements Uses","Phosphors","1"
"Right to Privacy","Fundamental Rights","1"
"Mineral Resources in India","Mining Policy","1"
"UNGA Observer Status","IGOs","1"
"European Travellers in India","Jean-Baptiste Tavernier","1"
"Globalization & Economic Sovereignty","Geopolitics","1"
"Wetland Ecosystem Services","Nutrient Removal","1"
"Permutation & Combination","Digit Permutation","1"
"Civic Participation & Voting Duty","Political Participation","1"
"Groundwater Regulation in India","Groundwater Irrigation","1"
"Permutation & Combination","Arrangement","1"
"Tropical Rainforest Soils","Nutrient Cycling","1"
"Hydrofluorocarbons Applications","Foam Agents","1"
"Global Compact for Migration","Non-binding","1"
"Carbon Fertilization","Plant Growth","1"
"Janani Suraksha Yojana","Maternal Health","1"
"Profit & Loss","Percentage Change","2"
"Digital Payments","BHIM/UPI","1"
"UNGA Observer Status","Non-member States","1"
"Fertilizer Production & Pricing","Sulphur","1"
"Digital Society & Governance","Social Transformation","1"
"Parliamentary Procedures","Collective Responsibility","1"
"Longitudes in India","Indian Cities Longitude","1"
"Global Food Security","Price Affordability","1"
"Number System","Number of Digits","1"
"Number System","Alphanumeric","1"
"Permutation & Combination","Runs","1"
"Percentage","Percentage Increase/Decrease","1"
"Regions & Countries","Mallorca","1"
"Percentage","Maximum Marks","1"
"BRSR Reporting","ESG Disclosures","1"
"Early Medieval Dynasties Chronology","Palas","1"
"Legal Tender","Settlement of Claims","1"
"Invasive Species","Prosopis","1"
"Ashokan Edicts & Dhamma","Religious Tolerance","1"
"Chief of Defence Staff Roles","DMA","1"
"Equator & Water Bodies","Lake Tanganyika","1"
"Vietnam Economy","Supply Chains","1"
"Logical Reasoning","Divisibility","2"
"Defence Rank Equivalence","Army-Airforce-Navy Ranks","1"
"UDHR and Indian Constitution","Directive Principles","1"
"Constitution Amendment Ratification","State Executive","1"
"Number System","Sum vs ProductConsecutive Integers","1"
"Ocean Mean Temperature","26?C Isotherm","1"
"Convertible Bonds","Lower Coupons","1"
"India Sanitation Coalition; NIUA","Sanitation Platform","1"
"Biodiversity Management Committees","Access and Benefit Sharing","1"
"Ecological Interdependence","Biodiversity Loss","1"
"Number System","Tables","2"
"Gandharva Mahavidyalaya","Music Education","1"
"Higher Education Pedagogy","Evolving Education","1"
"Financial Markets Regulation","NBFC LAF","1"
"Time, Speed & Distance","Scheduling","2"
"Logical Reasoning","Match Result","1"
"Opinions & Success","Independence of Thought","1"
"Public Health & Community Hygiene","Market Influence","1"
"Number System","37","1"
"Labour Reforms & Employment","Informal Sector","1"
"January Isotherms","Land-Ocean Thermal Contrast","1"
"Time, Speed & Distance","Variable Speed","1"
"Ancient Religious Terms","Parivrajaka","1"
"Portuguese Fort at Bhatkal","Adil Shah","1"
"Permutation & Combination","Diagonal Counting","1"
"Capital Markets Components","T-bills","1"
"Climate Risk & Investments","Stranded Assets","1"
"Urban Water Governance","Sustainable Water Delivery","2"
"Asian Infrastructure Investment Bank","Multilateral Development Bank","1"
"Mongol Invasions of India","Alauddin Khalji","1"
"Ratio & Proportion","Cube","1"
"Carbon Fertilization","CO2 Enrichment","1"
"Religious Tolerance & Pluralism","Mutual Judgment","1"
"Constitution Parts","Part XVIII","1"
"Chess Records","Abhimanyu Mishra","1"
"Wildlife Protection Act","Hunting Prohibitions","1"
"Small Farmer Large Field Model","Farmer Aggregation","1"
"Cryptocurrency","Blockchain Technology","1"
"India Sanitation Coalition; NIUA","Urban Affairs Institutions","1"
"GAGAN System","Aviation Navigation","1"
"Legume Family Crops","Soybean","1"
"Time, Speed & Distance","Angle Calculation","1"
"Visible Light Communication","Li-Fi","1"
"Food Safety & Public Health","Food Contamination","1"
"Industrial Farming & Sustainability","Environmental Cost","1"
"Microsatellite DNA Applications","Population Genetics","1"
"Hydrogels Applications","Drug Delivery","1"
"Cybersecurity & IoT Risks","Vulnerability","1"
"Industrial Disputes Data","Labour Bureau","1"
"Education System & Skills","Industrial Age Schooling","1"
"Bond Market Participants","Retail","1"
"Public Health & Community Hygiene","Infectious Disease","1"
"Food Security & Nutrition","Agricultural Productivity","1"
"National Investment and Infrastructure Fund","Sovereign Fund","1"
"Infrastructure Investment Trusts","Debt Markets","1"
"Public Health System","Curative vs Preventive","1"
"Boards & Ministries","NCTI","1"
"Fort William College","Colonial Administration Training","1"
"Soil Erosion & Food Security","Carbon Sequestration","1"
"G20 Membership","G20 Countries","1"
"Turmeric Production","Major States","1"
"Insect Classification","Froghopper","1"
"State Legislature Procedures","Governor Address","1"
"Logical Reasoning","Logical Implication","2"
"Merchant Discount Rate","Digital Payments","1"
"Classical Sanskrit Scholars","Panini","1"
"Communication Technologies","Spectrum","1"
"Indigo Cultivation Decline","Global Market","1"
"Logical Reasoning","Symbolic Logic","1"
"BIMSTEC","Tourism Lead","1"
"Percentage","Percentage","3"
"Protected Areas","Sathyamangalam","1"
"Sanskrit & Jain Literature","Hammira-Mahakavya","1"
"Wildlife Protection Law","State Ownership","1"
"Parliamentary System","Cabinet Government","1"
"Benzene Pollution & Exposure","Tobacco Smoke","1"
"Crop Disease Risk & Genetic Diversity","Selective Breeding","1"
"Fertilizer Production & Pricing","Ammonia","1"
"Monoclonal Antibodies","Antigen Binding","1"
"Circular Economy & Battery Recycling","Reuse","1"
"Productive Employment & Inclusion","Structural Transformation","1"
"Number System","Weeks-Days-Hours","1"
